Name,State,Latitude,Longitude,Status,Commodity Group
French Kiss,WA,-31.2131,122.5764,Care and maintenance,"Precious metals - Au, Ag, PGE"
Frog's Leg,WA,-30.7616,121.2701,Operating mine,"Precious metals - Au, Ag, PGE"
Garden Well,WA,-27.9064,122.356,Operating mine,"Precious metals - Au, Ag, PGE"
Geko,WA,-30.864091,120.899997,Care and maintenance,"Precious metals - Au, Ag, PGE"
George Fisher,QLD,-20.5711,139.472,Operating mine,"Base metals - Zn, Pb (Cu, Ag)"
Ginkgo-Crayfish-Snapper,NSW,-33.364405,142.225983,Operating mine,"Heavy mineral sands - Ti, Zr"
Glendell,NSW,-32.451192,151.077551,Operating mine,Coal
Golden Age-Wiluna,WA,-26.6018,120.246,Operating mine,"Precious metals - Au, Ag, PGE"
Golden Camel,VIC,-36.6462,144.7371,Developing mine,"Precious metals - Au, Ag, PGE"
Golden Cities,WA,-30.407235,121.396748,Operating mine,"Precious metals - Au, Ag, PGE"
Golden Dragon,WA,-28.9841,116.9578,Care and maintenance,"Precious metals - Au, Ag, PGE"
Golden Grove,WA,-28.7629,116.9848,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Goondicum Crater,QLD,-24.855651,151.433858,Care and maintenance,"Other metals - Sn, W, Ta, Ti"
Goonyella,QLD,-21.792321,147.962045,Operating mine,Coal
Goschen,VIC,-35.5598696,143.5315807,Developing mine,"Heavy mineral sands - Ti, Zr, REE"
Gove,NT,-12.261117,136.837017,Operating mine,Bauxite
Granite Belt,QLD,-28.83055,151.29045,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Granny Smith,WA,-28.8112,122.4149,Operating mine,"Precious metals - Au, Ag, PGE"
Granville East,TAS,-41.7978,145.0862,Care and maintenance,"Other metals - Sn, W, Ta, Ti"
Great White ,SA,-32.8286,134.7393,Developing mine,"High-purity elements - Al, Si"
Greenbushes,WA,-33.855846,116.06683,Operating mine,Lithium
Gregory Crinum,QLD,-23.172246,148.356348,Care and maintenance,Coal
Groote Eylandt,NT,-13.992158,136.445547,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Grosvenor,QLD,-21.873168,147.992728,Operating mine,Coal
Gruyere,WA,-27.98443,123.845213,Operating mine,"Precious metals - Au, Ag, PGE"
Gudai-Darri,WA,-22.555946,119.023928,Operating mine,Iron ore
Gwalia,WA,-28.9185,121.334,Operating mine,"Precious metals - Au, Ag, PGE"
Hail Creek,QLD,-21.505383,148.406805,Operating mine,Coal
Hamlet,WA,-31.4001,121.8122,Operating mine,"Precious metals - Au, Ag, PGE"
Hampton-Boulder-Jubilee,WA,-31.0276,121.6031,Operating mine,"Precious metals - Au, Ag, PGE"
Haoma,WA,-31.0119,121.9189,Care and Maintenance,"Precious metals - Au, Ag, PGE"
Hawkes Creek,TAS,-41.096,144.8844,Operating mine,"High-purity elements - Al, Si"
Hellyer,TAS,-41.5746,145.7221,Care and Maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Henty,TAS,-41.8664,145.5574,Operating mine,"Precious metals - Au, Ag, PGE"
Hera,NSW,-32.1107,146.3259,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Hermes,WA,-25.5845,118.9098,Care and maintenance,"Precious metals - Au, Ag, PGE"
Higginsville,WA,-31.7303,121.7377,Operating mine,"Precious metals - Au, Ag, PGE"
Hillgrove,NSW,-30.5745,151.9009,Care and Maintenance,"Precious metals - Au, Ag, PGE"
Homestead,WA,-30.5421,121.2283,Operating mine,"Precious metals - Au, Ag, PGE"
Honeymoon,SA,-31.74095,140.662365,Care and Maintenance,Uranium
Honeymoon Well,WA,-26.920375,120.379031,Developing mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Hope Downs,WA,-22.94691,119.122931,Operating mine,Iron ore
Hunter Valley Operations,NSW,-32.5104,150.992,Operating mine,Coal
Huntly,WA,-32.555795,116.166496,Operating mine,Bauxite
Integra,NSW,-32.468839,151.134981,Operating mine,Coal
Invincible,NSW,-33.326854,150.030003,Care and maintenance,Coal
Invincible,WA,-31.3243,121.7451,Operating mine,"Precious metals - Au, Ag, PGE"
Iron Bridge,WA,-21.25186,119.0557,Developing mine,Iron ore
Iron Ridge,WA,-26.9455,117.6818,Operating mine,Iron ore
Iron Valley,WA,-22.7201,119.3171,Operating mine,Iron ore
Ironbark No 1,QLD,-21.742897,148.173142,Operating mine,Coal
Isaac Plains,QLD,-21.992,148.108,Operating mine,Coal
Jacinth-Ambrosia,SA,-30.861125,132.228669,Operating mine,"Heavy mineral sands - Ti, Zr"
Jack Hills,WA,-26.05232,117.2414,Care and maintenance,Iron ore
Jaguar,WA,-28.4446,121.1551,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Janet Ivy,WA,-30.7745,121.3834,Operating mine,"Precious metals - Au, Ag, PGE"
Jaurdi,WA,-30.68871,120.925,Operating mine,"Precious metals - Au, Ag, PGE"
Jax,QLD,-20.72,147.87,Operating mine,Coal
Jellinbah East,QLD,-23.406874,148.950644,Operating mine,Coal
Jimblebar,WA,-23.379259,120.139061,Operating mine,Iron ore
Julia Creek,QLD,-20.7183,141.99358,Developing mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Jundee,WA,-26.3725,120.6041,Operating mine,"Precious metals - Au, Ag, PGE"
Jupiter,WA,-28.8072,122.2192,Operating mine,"Precious metals - Au, Ag, PGE"
JWD,WA,-26.791821,119.954639,Operating mine,Iron ore
Kalgoorlie (super pit),WA,-30.7781,121.505,Operating mine,"Precious metals - Au, Ag, PGE"
Kanmantoo,SA,-35.0919,139.0054,Developing mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Kanowna Belle,WA,-30.6101,121.5761,Operating mine,"Precious metals - Au, Ag, PGE"
Kara,TAS,-41.309996,145.772011,Operating mine,Iron ore
Karara,WA,-29.16019,116.8005,Operating mine,Iron ore
Karlawindra,WA,-23.7646,120.0997,Operating mine,"Precious metals - Au, Ag, PGE"
Karonie,WA,-31.034,122.56,Operating mine,"Precious metals - Au, Ag, PGE"
Kathleen Valley,WA,-27.4694,120.5581,Developing mine,Lithium
Kestrel,QLD,-23.241972,148.370306,Operating mine,Coal
Keysbrook,WA,-32.46423,115.938797,Operating mine,"Heavy mineral sands - Ti, Zr"
King of the Hills,WA,-28.6715,121.163,Operating mine,"Precious metals - Au, Ag, PGE"
King Vol,QLD,-16.9363,144.2496,Operating mine,"Base metals - Zn, Pb (Cu, Ag)"
Kings,WA,-22.17611,117.5217,Operating mine,Iron ore
Kirkalocka,WA,-28.675,117.762,Operating mine,"Precious metals - Au, Ag, PGE"
Kogan Creek,QLD,-26.895716,150.772631,Operating mine,Coal
Koolan Island,WA,-16.127535,123.740184,Operating mine,Iron ore
Koolyanobbing,WA,-30.8336,119.538,Operating mine,Iron ore
Kundana,WA,-30.711143,121.231141,Operating mine,"Precious metals - Au, Ag, PGE"
Kunwarara,QLD,-22.8814,150.1869,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Lady Annie ,QLD ,-19.773053,139.044016,Care and maintenance,"Base metals - Cu (Zn, Pb, Ag, Au)"
Lady Loretta,QLD,-19.768589,139.070193,Operating mine,"Base metals - Zn, Pb (Cu, Ag)"
Lake Vermont,QLD,-22.399002,148.438513,Operating mine,Coal
Lanfranchi,WA,-31.50546,121.8429,Care and maintenance,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Leinster,WA,-27.788893,120.697235,Operating mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Liddell,NSW,-32.391601,150.999883,Operating mine,Coal
Lighthouse,QLD,-18.3944,144.1733,Care and maintenance,"High-purity elements - Al, Si"
Lindsay's Find,WA,-30.3275,121.6917,Care and maintenance,"Precious metals - Au, Ag, PGE"
Liontown,QLD,-20.4095,146.0678,Developing mine,"Base metals - Zn, Pb (Cu, Ag)"
Lorena,QLD,-20.7187,140.6487,Care and Maintenance,"Precious metals - Au, Ag, PGE"
Loy Yang,VIC,-38.2347,146.564,Operating mine,Coal
Lucky Bay,WA,-28.02938,114.183055,Developing mine,"Heavy mineral sands - Ti, Zr"
Maddingley,VIC,-37.704289,144.440161,Operating mine,Coal
Mandalong,NSW,-33.126841,151.449976,Operating mine,Coal
Mangoola,NSW,-32.296844,150.669987,Operating mine,Coal
Mannering,NSW,-33.164218,151.532511,Care and maintenance,Coal
Maralla Road ,WA,-31.7388,115.9704,Operating mine,"High-purity elements - Al, Si"
Marandoo,WA,-22.638099,118.138562,Operating mine,Iron ore
Marda,WA,-30.2,119.26,Operating mine,"Precious metals - Au, Ag, PGE"
Mariners,WA,-31.627845,121.661257,Care and maintenance,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Matilda,WA,-26.7575,120.2149,Operating mine,"Precious metals - Au, Ag, PGE"
Maules Creek,NSW,-30.545121,150.154234,Operating mine,Coal
Maxwells,WA,-31.0809,122.1989,Operating mine,"Precious metals - Au, Ag, PGE"
McArthur River,NT,-16.436,136.0985,Operating mine,"Base metals - Zn, Pb (Cu, Ag)"
Merlin,QLD,-21.653303,140.493067,Care and maintenance,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Merlin,NT,-16.847948,136.345105,Care and maintenance,Diamond
Metropolitan,NSW,-34.184912,150.996569,Operating mine,Coal
Middleback Ranges,SA,-32.998,137.156,Operating mine,Iron ore
Middlemount,QLD,-22.848131,148.631626,Operating mine,Coal
Miitel,WA,-31.6278,121.6613,Care and maintenance,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Millennium and Mavis Downs,QLD,-22.025,148.213,Operating mine,Coal
Mindarie,SA,-34.795,140.2075,Developing mine,"Heavy mineral sands - Ti, Zr"
Mindijup,WA,-34.7689,118.0768,Operating mine,"High-purity elements - Al, Si"
Mineral Hill,NSW,-32.5755,146.9871,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Mining Area C,WA,-22.92817,118.96431,Operating mine,Iron ore
Molyhil,NT,-22.757085,135.749305,Developing mine,"Battery/Alloy metals - Ni, Co, Mn, V, Mo, Mg"
Monty,WA,-25.559468,119.434427,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Moolarben,NSW,-32.29,149.785,Operating mine,Coal
Moolart Well,WA,-27.6112,122.3479,Operating mine,"Precious metals - Au, Ag, PGE"
Moora,WA,-30.515323,116.03445,Operating mine,"High-purity elements - Al, Si"
Moorvale,QLD,-21.995517,148.35358,Operating mine,Coal
Moranbah North,QLD,-21.871331,147.956742,Operating mine,Coal
Morningstar,VIC,-37.5686,146.2456,Operating mine,"Precious metals - Au, Ag, PGE"
Mount Arthur,NSW,-32.3483,150.9055,Operating mine,Coal
Mount Boppy,NSW,-31.5618,146.3161,Care and Maintenance,"Precious metals - Au, Ag, PGE"
Mount Carbine,QLD,-16.518296,145.131875,Operating mine,"Other metals - Sn, W, Ta, Ti"
Mount Carlton,QLD,-20.2716,147.5619,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
Mount Cattlin,WA,-33.56241,120.038002,Operating mine,Lithium
Mount Colin,QLD,-20.7759,140.0445,Operating mine,"Base metals - Cu (Zn, Pb, Ag, Au)"
